,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2
0,8,Barcelona,19,Barcelona,4,12,2021,1,1,39.0,V,37.0,V,28.0,V,25.0,V,36.0,V,39.0,V,17.0,V,27.0,V,35.0,V,36.0,V,33.0,V,24.0,V,36.0,V,47.0,V,46.0,V,36.0,V,34.0,V,19.0,V,18.0,V,24.0,V,21.0,V,30.0,V,14.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
1,8,Barcelona,19,Barcelona,4,12,2021,1,2,10.0,V,12.0,V,9.0,V,8.0,V,7.0,V,8.0,V,10.0,V,10.0,V,12.0,V,13.0,V,22.0,V,21.0,V,26.0,V,24.0,V,21.0,V,20.0,V,21.0,V,26.0,V,34.0,V,46.0,V,52.0,V,49.0,V,51.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
2,8,Barcelona,19,Barcelona,4,12,2021,1,3,38.0,V,12.0,V,4.0,V,3.0,V,3.0,V,7.0,V,6.0,V,7.0,V,9.0,V,18.0,V,15.0,V,13.0,V,15.0,V,16.0,V,26.0,V,29.0,V,28.0,V,34.0,V,63.0,V,112.0,V,99.0,V,96.0,V,66.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
3,8,Barcelona,19,Barcelona,4,12,2021,1,4,51.0,V,45.0,V,40.0,V,44.0,V,37.0,V,43.0,V,55.0,V,86.0,V,126.0,V,37.0,V,,N,,N,38.0,V,25.0,V,29.0,V,27.0,V,24.0,V,34.0,V,44.0,V,38.0,V,58.0,V,59.0,V,26.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
4,8,Barcelona,19,Barcelona,4,12,2021,1,5,43.0,V,62.0,V,64.0,V,34.0,V,32.0,V,52.0,V,73.0,V,95.0,V,121.0,V,131.0,V,114.0,V,79.0,V,34.0,V,25.0,V,24.0,V,21.0,V,31.0,V,47.0,V,68.0,V,76.0,V,52.0,V,49.0,V,41.0,V,54.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
5,8,Barcelona,19,Barcelona,4,12,2021,1,6,42.0,V,38.0,V,29.0,V,24.0,V,21.0,V,25.0,V,29.0,V,29.0,V,28.0,V,38.0,V,35.0,V,39.0,V,42.0,V,34.0,V,23.0,V,17.0,V,18.0,V,26.0,V,79.0,V,115.0,V,90.0,V,58.0,V,49.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
6,8,Barcelona,19,Barcelona,4,12,2021,1,7,33.0,V,36.0,V,36.0,V,34.0,V,29.0,V,33.0,V,39.0,V,58.0,V,84.0,V,115.0,V,110.0,V,111.0,V,117.0,V,57.0,V,31.0,V,28.0,V,38.0,V,36.0,V,81.0,V,104.0,V,89.0,V,66.0,V,46.0,V,25.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
7,8,Barcelona,19,Barcelona,4,12,2021,1,8,26.0,V,37.0,V,27.0,V,17.0,V,18.0,V,31.0,V,33.0,V,57.0,V,70.0,V,69.0,V,72.0,V,80.0,V,82.0,V,79.0,V,56.0,V,60.0,V,72.0,V,104.0,V,120.0,V,110.0,V,95.0,V,65.0,V,34.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
8,8,Barcelona,19,Barcelona,4,12,2021,1,9,12.0,V,13.0,V,6.0,V,7.0,V,11.0,V,15.0,V,14.0,V,11.0,V,12.0,V,17.0,V,18.0,V,23.0,V,16.0,V,16.0,V,13.0,V,12.0,V,14.0,V,16.0,V,11.0,V,12.0,V,11.0,V,13.0,V,10.0,V,9.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
9,8,Barcelona,19,Barcelona,4,12,2021,1,10,11.0,V,6.0,V,6.0,V,5.0,V,6.0,V,9.0,V,7.0,V,10.0,V,12.0,V,15.0,V,13.0,V,15.0,V,22.0,V,33.0,V,37.0,V,40.0,V,19.0,V,35.0,V,44.0,V,38.0,V,32.0,V,48.0,V,31.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
10,8,Barcelona,19,Barcelona,4,12,2021,1,11,17.0,V,13.0,V,13.0,V,11.0,V,7.0,V,12.0,V,18.0,V,35.0,V,48.0,V,52.0,V,52.0,V,48.0,V,39.0,V,37.0,V,31.0,V,30.0,V,34.0,V,38.0,V,40.0,V,31.0,V,29.0,V,23.0,V,20.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
11,8,Barcelona,19,Barcelona,4,12,2021,1,12,19.0,V,11.0,V,9.0,V,9.0,V,9.0,V,12.0,V,20.0,V,32.0,V,52.0,V,46.0,V,35.0,V,38.0,V,30.0,V,29.0,V,31.0,V,30.0,V,35.0,V,34.0,V,36.0,V,37.0,V,30.0,V,35.0,V,31.0,V,24.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
12,8,Barcelona,19,Barcelona,4,12,2021,1,13,18.0,V,14.0,V,15.0,V,20.0,V,10.0,V,14.0,V,20.0,V,36.0,V,48.0,V,36.0,V,37.0,V,32.0,V,36.0,V,35.0,V,33.0,V,37.0,V,51.0,V,44.0,V,29.0,V,26.0,V,24.0,V,25.0,V,18.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
13,8,Barcelona,19,Barcelona,4,12,2021,1,14,12.0,V,8.0,V,7.0,V,9.0,V,8.0,V,10.0,V,16.0,V,30.0,V,54.0,V,99.0,V,,N,,N,34.0,V,33.0,V,27.0,V,32.0,V,32.0,V,39.0,V,49.0,V,69.0,V,51.0,V,38.0,V,34.0,V,35.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
14,8,Barcelona,19,Barcelona,4,12,2021,1,15,19.0,V,13.0,V,12.0,V,15.0,V,26.0,V,47.0,V,63.0,V,120.0,V,151.0,V,225.0,V,275.0,V,212.0,V,53.0,V,54.0,V,68.0,V,67.0,V,37.0,V,39.0,V,55.0,V,161.0,V,271.0,V,242.0,V,155.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
15,8,Barcelona,19,Barcelona,4,12,2021,1,16,119.0,V,78.0,V,78.0,V,55.0,V,44.0,V,36.0,V,35.0,V,56.0,V,67.0,V,70.0,V,67.0,V,24.0,V,22.0,V,23.0,V,20.0,V,20.0,V,29.0,V,35.0,V,32.0,V,33.0,V,29.0,V,31.0,V,52.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
16,8,Barcelona,19,Barcelona,4,12,2021,1,17,23.0,V,20.0,V,17.0,V,11.0,V,15.0,V,22.0,V,32.0,V,25.0,V,29.0,V,41.0,V,37.0,V,37.0,V,21.0,V,28.0,V,30.0,V,19.0,V,17.0,V,25.0,V,62.0,V,86.0,V,97.0,V,119.0,V,132.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
17,8,Barcelona,19,Barcelona,4,12,2021,1,18,76.0,V,48.0,V,42.0,V,41.0,V,32.0,V,53.0,V,78.0,V,145.0,V,220.0,V,246.0,V,242.0,V,180.0,V,99.0,V,38.0,V,58.0,V,56.0,V,56.0,V,96.0,V,130.0,V,205.0,V,237.0,V,157.0,V,156.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
18,8,Barcelona,19,Barcelona,4,12,2021,1,19,114.0,V,74.0,V,61.0,V,53.0,V,46.0,V,47.0,V,95.0,V,134.0,V,199.0,V,222.0,V,202.0,V,156.0,V,67.0,V,65.0,V,36.0,V,41.0,V,49.0,V,51.0,V,52.0,V,66.0,V,56.0,V,48.0,V,67.0,V,79.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
19,8,Barcelona,19,Barcelona,4,12,2021,1,20,62.0,V,40.0,V,42.0,V,49.0,V,61.0,V,66.0,V,84.0,V,157.0,V,223.0,V,231.0,V,178.0,V,93.0,V,82.0,V,57.0,V,51.0,V,45.0,V,65.0,V,75.0,V,60.0,V,53.0,V,53.0,V,40.0,V,33.0,V,28.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
20,8,Barcelona,19,Barcelona,4,12,2021,1,21,48.0,V,60.0,V,48.0,V,61.0,V,52.0,V,62.0,V,106.0,V,213.0,V,121.0,V,173.0,V,160.0,V,93.0,V,94.0,V,67.0,V,40.0,V,62.0,V,82.0,V,94.0,V,136.0,V,201.0,V,163.0,V,250.0,V,212.0,V,119.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
21,8,Barcelona,19,Barcelona,4,12,2021,1,22,106.0,V,96.0,V,69.0,V,73.0,V,18.0,V,14.0,V,26.0,V,41.0,V,60.0,V,39.0,V,26.0,V,48.0,V,43.0,V,29.0,V,14.0,V,16.0,V,20.0,V,22.0,V,19.0,V,17.0,V,16.0,V,15.0,V,11.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
22,8,Barcelona,19,Barcelona,4,12,2021,1,23,9.0,V,9.0,V,9.0,V,6.0,V,6.0,V,6.0,V,12.0,V,25.0,V,23.0,V,21.0,V,23.0,V,19.0,V,14.0,V,16.0,V,14.0,V,13.0,V,13.0,V,15.0,V,18.0,V,20.0,V,16.0,V,19.0,V,21.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
23,8,Barcelona,19,Barcelona,4,12,2021,1,24,22.0,V,22.0,V,21.0,V,10.0,V,5.0,V,5.0,V,3.0,V,4.0,V,4.0,V,9.0,V,7.0,V,11.0,V,11.0,V,16.0,V,17.0,V,11.0,V,12.0,V,14.0,V,18.0,V,17.0,V,32.0,V,31.0,V,23.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
24,8,Barcelona,19,Barcelona,4,12,2021,1,25,16.0,V,12.0,V,11.0,V,7.0,V,5.0,V,7.0,V,13.0,V,28.0,V,41.0,V,38.0,V,40.0,V,64.0,V,68.0,V,65.0,V,26.0,V,33.0,V,14.0,V,16.0,V,15.0,V,15.0,V,12.0,V,10.0,V,12.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
25,8,Barcelona,19,Barcelona,4,12,2021,1,26,27.0,V,29.0,V,16.0,V,13.0,V,14.0,V,20.0,V,19.0,V,38.0,V,43.0,V,31.0,V,26.0,V,16.0,V,17.0,V,15.0,V,20.0,V,31.0,V,47.0,V,53.0,V,72.0,V,70.0,V,49.0,V,40.0,V,79.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
26,8,Barcelona,19,Barcelona,4,12,2021,1,27,86.0,V,50.0,V,32.0,V,36.0,V,35.0,V,35.0,V,71.0,V,86.0,V,141.0,V,192.0,V,194.0,V,158.0,V,64.0,V,39.0,V,22.0,V,21.0,V,29.0,V,30.0,V,69.0,V,91.0,V,148.0,V,252.0,V,295.0,V,205.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
27,8,Barcelona,19,Barcelona,4,12,2021,1,28,170.0,V,151.0,V,129.0,V,107.0,V,84.0,V,113.0,V,140.0,V,177.0,V,290.0,V,441.0,V,259.0,V,128.0,V,108.0,V,57.0,V,46.0,V,52.0,V,44.0,V,61.0,V,72.0,V,89.0,V,65.0,V,86.0,V,111.0,V,143.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
28,8,Barcelona,19,Barcelona,4,12,2021,1,29,187.0,V,217.0,V,137.0,V,88.0,V,89.0,V,137.0,V,81.0,V,49.0,V,60.0,V,49.0,V,47.0,V,54.0,V,68.0,V,50.0,V,26.0,V,27.0,V,44.0,V,35.0,V,25.0,V,31.0,V,40.0,V,33.0,V,31.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
29,8,Barcelona,19,Barcelona,4,12,2021,1,30,69.0,V,105.0,V,84.0,V,76.0,V,53.0,V,62.0,V,59.0,V,91.0,V,126.0,V,42.0,V,15.0,V,18.0,V,17.0,V,15.0,V,12.0,V,11.0,V,12.0,V,17.0,V,17.0,V,12.0,V,22.0,V,20.0,V,17.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
30,8,Barcelona,19,Barcelona,4,12,2021,1,31,7.0,V,6.0,V,4.0,V,3.0,V,3.0,V,6.0,V,4.0,V,4.0,V,5.0,V,6.0,V,7.0,V,8.0,V,12.0,V,12.0,V,10.0,V,11.0,V,10.0,V,8.0,V,8.0,V,12.0,V,10.0,V,9.0,V,6.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
31,8,Barcelona,19,Barcelona,42,12,2021,1,1,40.0,V,54.0,V,19.0,V,13.0,V,14.0,V,8.0,V,9.0,V,18.0,V,19.0,V,23.0,V,18.0,V,22.0,V,25.0,V,23.0,V,26.0,V,17.0,V,13.0,V,14.0,V,12.0,V,13.0,V,11.0,V,10.0,V,10.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
32,8,Barcelona,19,Barcelona,42,12,2021,1,2,9.0,V,7.0,V,7.0,V,7.0,V,4.0,V,4.0,V,5.0,V,7.0,V,9.0,V,14.0,V,14.0,V,17.0,V,22.0,V,18.0,V,16.0,V,15.0,V,21.0,V,19.0,V,16.0,V,23.0,V,33.0,V,51.0,V,50.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
33,8,Barcelona,19,Barcelona,42,12,2021,1,3,27.0,V,11.0,V,8.0,V,5.0,V,5.0,V,7.0,V,8.0,V,9.0,V,11.0,V,20.0,V,14.0,V,14.0,V,10.0,V,12.0,V,16.0,V,14.0,V,17.0,V,21.0,V,62.0,V,135.0,V,151.0,V,99.0,V,90.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
34,8,Barcelona,19,Barcelona,42,12,2021,1,4,143.0,V,24.0,V,47.0,V,20.0,V,22.0,V,13.0,V,18.0,V,24.0,V,22.0,V,21.0,V,23.0,V,24.0,V,23.0,V,18.0,V,13.0,V,,N,,N,33.0,V,49.0,V,35.0,V,38.0,V,30.0,V,31.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
35,8,Barcelona,19,Barcelona,42,12,2021,1,5,26.0,V,16.0,V,10.0,V,13.0,V,10.0,V,14.0,V,24.0,V,39.0,V,40.0,V,55.0,V,45.0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
36,8,Barcelona,19,Barcelona,42,12,2021,1,6,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
37,8,Barcelona,19,Barcelona,42,12,2021,1,7,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,68.0,V,56.0,V,60.0,V,28.0,V,37.0,V,34.0,V,33.0,V,37.0,V,90.0,V,67.0,V,43.0,V,34.0,V,24.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
38,8,Barcelona,19,Barcelona,42,12,2021,1,8,19.0,V,20.0,V,20.0,V,18.0,V,17.0,V,25.0,V,29.0,V,45.0,V,58.0,V,61.0,V,62.0,V,57.0,V,38.0,V,41.0,V,43.0,V,47.0,V,52.0,V,67.0,V,75.0,V,81.0,V,69.0,V,65.0,V,41.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
39,8,Barcelona,19,Barcelona,42,12,2021,1,9,16.0,V,22.0,V,16.0,V,9.0,V,8.0,V,8.0,V,12.0,V,16.0,V,17.0,V,20.0,V,23.0,V,25.0,V,27.0,V,26.0,V,24.0,V,21.0,V,25.0,V,21.0,V,22.0,V,17.0,V,18.0,V,19.0,V,15.0,V,16.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
40,8,Barcelona,19,Barcelona,42,12,2021,1,10,13.0,V,11.0,V,9.0,V,8.0,V,7.0,V,7.0,V,8.0,V,11.0,V,12.0,V,15.0,V,17.0,V,20.0,V,28.0,V,36.0,V,36.0,V,40.0,V,37.0,V,42.0,V,40.0,V,37.0,V,28.0,V,23.0,V,18.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
41,8,Barcelona,19,Barcelona,42,12,2021,1,11,17.0,V,13.0,V,12.0,V,10.0,V,6.0,V,7.0,V,10.0,V,17.0,V,32.0,V,37.0,V,39.0,V,32.0,V,29.0,V,23.0,V,20.0,V,17.0,V,22.0,V,21.0,V,27.0,V,26.0,V,26.0,V,24.0,V,26.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
42,8,Barcelona,19,Barcelona,42,12,2021,1,12,15.0,V,9.0,V,8.0,V,7.0,V,8.0,V,10.0,V,14.0,V,19.0,V,28.0,V,28.0,V,29.0,V,23.0,V,21.0,V,20.0,V,20.0,V,18.0,V,19.0,V,23.0,V,29.0,V,28.0,V,26.0,V,22.0,V,22.0,V,15.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
